second|adCount
0|55252
1|55252
2|55253
3|55253
4|55254
5|55254
6|55254
7|55255
8|55255
9|55256
10|55256
11|55257
12|55257
13|55258
14|55258
15|55259
16|55259
17|55260
18|55260
19|55261
20|55261
21|55262
22|55262
23|55263
24|55263
25|55264
26|55265
27|55265
28|55266
29|55266
30|55267
31|55268
32|55268
33|55269
34|55270
35|55270
36|55271
37|55271
38|55272
39|55273
40|55274
41|55274
42|55275
43|55276
44|55276
45|55277
46|55278
47|55279
48|55279
49|55280
50|55281
51|55282
52|55282
53|55283
54|55284
55|55285
56|55286
57|55286
58|55287
59|55288
60|55289
61|55290
62|55291
63|55292
64|55292
65|55293
66|55294
67|55295
68|55296
69|55297
70|55298
71|55299
72|55300
73|55301
74|55302
75|55303
76|55304
77|55305
78|55306
79|55306
80|55307
81|55309
82|55310
83|55311
84|55312
85|55313
86|55314
87|55315
88|55316
89|55317
90|55318
91|55319
92|55320
93|55321
94|55322
95|55323
96|55325
97|55326
98|55327
99|55328
100|55329
101|55330
102|55331
103|55333
104|55334
105|55335
106|55336
107|55338
108|55339
109|55340
110|55341
111|55342
112|55344
113|55345
114|55346
115|55348
116|55349
117|55350
118|55351
119|55353
120|55354
121|55355
122|55357
123|55358
124|55359
125|55361
126|55362
127|55363
128|55365
129|55366
130|55368
131|55369
132|55370
133|55372
134|55373
135|55375
136|55376
137|55378
138|55379
139|55380
140|55382
141|55383
142|55385
143|55386
144|55388
145|55389
146|55391
147|55392
148|55394
149|55395
150|55397
151|55399
152|55400
153|55402
154|55403
155|55405
156|55406
157|55408
158|55410
159|55411
160|55413
161|55415
162|55416
163|55418
164|55419
165|55421
166|55423
167|55424
168|55426
169|55428
170|55430
171|55431
172|55433
173|55435
174|55436
175|55438
176|55440
177|55442
178|55443
179|55445
180|55447
181|55449
182|55451
183|55452
184|55454
185|55456
186|55458
187|55460
188|55462
189|55463
190|55465
191|55467
192|55469
193|55471
194|55473
195|55475
196|55477
197|55479
198|55480
199|55482
200|55484
201|55486
202|55488
203|55490
204|55492
205|55494
206|55496
207|55498
208|55500
209|55502
210|55504
211|55506
212|55508
213|55510
214|55512
215|55514
216|55516
217|55518
218|55520
219|55523
220|55525
221|55527
222|55529
223|55531
224|55533
225|55535
226|55537
227|55540
228|55542
229|55544
230|55546
231|55549
232|55551
233|55554
234|55556
235|55559
236|55562
237|55564
238|55567
239|55570
240|55573
241|55576
242|55579
243|55582
244|55585
245|55588
246|55591
247|55595
248|55598
249|55601
250|55604
251|55608
252|55611
253|55615
254|55618
255|55622
256|55626
257|55630
258|55633
259|55637
260|55641
261|55645
262|55649
263|55653
264|55657
265|55661
266|55665
267|55670
268|55674
269|55678
270|55682
271|55687
272|55691
273|55696
274|55700
275|55705
276|55710
277|55714
278|55719
279|55724
280|55729
281|55734
282|55739
283|55744
284|55749
285|55754
286|55759
287|55764
288|55770
289|55775
290|55780
291|55786
292|55791
293|55797
294|55802
295|55808
296|55813
297|55819
298|55825
299|55831
300|55837
301|55843
302|55848
303|55855
304|55861
305|55867
306|55873
307|55879
308|55885
309|55892
310|55898
311|55904
312|55911
313|55917
314|55924
315|55930
316|55937
317|55944
318|55951
319|55957
320|55964
321|55971
322|55978
323|55985
324|55992
325|55999
326|56006
327|56014
328|56021
329|56028
330|56036
331|56043
332|56050
333|56058
334|56065
335|56073
336|56081
337|56088
338|56096
339|56104
340|56112
341|56120
342|56128
343|56136
344|56144
345|56152
346|56160
347|56168
348|56177
349|56185
350|56193
351|56202
352|56210
353|56219
354|56227
355|56236
356|56244
357|56253
358|56262
359|56271
360|56279
361|56288
362|56297
363|56306
364|56315
365|56325
366|56334
367|56343
368|56352
369|56361
370|56371
371|56380
372|56390
373|56399
374|56409
375|56418
376|56428
377|56438
378|56447
379|56457
380|56467
381|56477
382|56487
383|56497
384|56507
385|56517
386|56527
387|56537
388|56548
389|56558
390|56568
391|56579
392|56589
393|56600
394|56610
395|56621
396|56631
397|56642
398|56653
399|56664
400|56674
401|56685
402|56696
403|56707
404|56718
405|56729
406|56740
407|56752
408|56763
