second|adCount
0|55252
1|55252
2|55252
3|55252
4|55252
5|55252
6|55252
7|55252
8|55252
9|55252
10|55252
11|55253
12|55253
13|55253
14|55253
15|55253
16|55253
17|55253
18|55253
19|55253
20|55253
21|55253
22|55253
23|55253
24|55253
25|55253
26|55253
27|55253
28|55253
29|55253
30|55253
31|55254
32|55254
33|55254
34|55254
35|55254
36|55254
37|55254
38|55254
39|55254
40|55254
41|55254
42|55254
43|55254
44|55254
45|55254
46|55254
47|55254
48|55254
49|55254
50|55255
51|55255
52|55255
53|55255
54|55255
55|55255
56|55255
57|55255
58|55255
59|55255
60|55255
61|55255
62|55255
63|55255
64|55255
65|55255
66|55255
67|55255
68|55256
69|55256
70|55256
71|55256
72|55256
73|55256
74|55256
75|55256
76|55256
77|55256
78|55256
79|55256
80|55256
81|55256
82|55256
83|55256
84|55256
85|55257
86|55257
87|55257
88|55257
89|55257
90|55257
91|55257
92|55257
93|55257
94|55257
95|55257
96|55257
97|55257
98|55257
99|55257
100|55257
101|55257
102|55258
103|55258
104|55258
105|55258
106|55258
107|55258
108|55258
109|55258
110|55258
111|55258
112|55258
113|55258
114|55258
115|55258
116|55258
117|55258
118|55258
119|55259
120|55259
121|55259
122|55259
123|55259
124|55259
125|55259
126|55259
127|55259
128|55259
129|55259
130|55259
131|55259
132|55259
133|55259
134|55260
135|55260
136|55260
137|55260
138|55260
139|55260
140|55260
141|55260
142|55260
143|55260
144|55260
145|55260
146|55260
147|55260
148|55260
149|55260
150|55261
151|55261
152|55261
153|55261
154|55261
155|55261
156|55261
157|55261
158|55261
159|55261
160|55261
161|55261
162|55261
163|55261
164|55261
165|55262
166|55262
167|55262
168|55262
169|55262
170|55262
171|55262
172|55262
173|55262
174|55262
175|55262
176|55262
177|55262
178|55262
179|55263
180|55263
181|55263
182|55263
183|55263
184|55263
185|55263
186|55263
187|55263
188|55263
189|55263
190|55263
191|55263
192|55263
193|55264
194|55264
195|55264
196|55264
197|55264
198|55264
199|55264
200|55264
201|55264
202|55264
203|55264
204|55264
205|55264
206|55264
207|55265
208|55265
209|55265
210|55265
211|55265
212|55265
213|55265
214|55265
215|55265
216|55265
217|55265
218|55265
219|55265
220|55265
221|55266
222|55266
223|55266
224|55266
225|55266
226|55266
227|55266
228|55266
229|55266
230|55266
231|55266
232|55266
233|55266
234|55267
235|55267
236|55267
237|55267
238|55267
239|55267
240|55267
241|55267
242|55267
243|55267
244|55267
245|55267
246|55267
247|55268
248|55268
249|55268
250|55268
251|55268
252|55268
253|55268
254|55268
255|55268
256|55268
257|55268
258|55268
259|55268
260|55269
261|55269
262|55269
263|55269
264|55269
265|55269
266|55269
267|55269
268|55269
269|55269
270|55269
271|55269
272|55270
273|55270
274|55270
275|55270
276|55270
277|55270
278|55270
279|55270
280|55270
281|55270
282|55270
283|55270
284|55271
285|55271
286|55271
287|55271
288|55271
289|55271
290|55271
291|55271
292|55271
293|55271
294|55271
295|55271
296|55271
297|55272
298|55272
299|55272
300|55272
301|55272
302|55272
303|55272
304|55272
305|55272
306|55272
307|55272
308|55273
309|55273
310|55273
311|55273
312|55273
313|55273
314|55273
315|55273
316|55273
317|55273
318|55273
319|55273
320|55274
321|55274
322|55274
323|55274
324|55274
325|55274
326|55274
327|55274
328|55274
329|55274
330|55274
331|55275
332|55275
333|55275
334|55275
335|55275
336|55275
337|55275
338|55275
339|55275
340|55275
341|55275
342|55275
343|55276
344|55276
345|55276
346|55276
347|55276
348|55276
349|55276
350|55276
351|55276
352|55276
353|55276
354|55277
355|55277
356|55277
357|55277
358|55277
359|55277
360|55277
361|55277
362|55277
363|55277
364|55277
365|55278
366|55278
367|55278
368|55278
369|55278
370|55278
371|55278
372|55278
373|55278
374|55278
375|55278
376|55279
377|55279
378|55279
379|55279
380|55279
381|55279
382|55279
383|55279
384|55279
385|55279
386|55280
387|55280
388|55280
389|55280
390|55280
391|55280
392|55280
393|55280
394|55280
395|55280
396|55280
397|55281
398|55281
399|55281
400|55281
401|55281
402|55281
403|55281
404|55281
405|55281
406|55281
407|55282
408|55282
